id,alias,name,review_count,categories,rating,latitude,longitude,address,city,state
TxLuNo_uGo1Lr_hAG7lXgg,mariscos-el-cachanilla-fort-worth,Mariscos El Cachanilla,5,Seafood,5.0,32.74033,-97.25762,"['4402 E Lancaster Ave', 'Fort Worth, TX 76103']",Fort Worth,TX
ALgpRnzVzG0TH4sRe5Vavw,red-lobster-burleson,Red Lobster,91,Seafood,2.5,32.5692217,-97.319836,"['1175 N Burleson Blvd', 'Burleson, TX 76028']",Burleson,TX
hf14d1LLiOhCM1UynHQXVQ,captain-ds-forest-hill-2,Captain D's,23,Seafood,3.5,32.6603845314387,-97.27025047,"['6554 Forest Hill Dr', 'Forest Hill, TX 76140']",Forest Hill,TX
24B9S_LfvKZfNWNWGYccxQ,lisas-chicken-and-seafood-fort-worth-6,Lisa's Chicken and Seafood,29,Seafood,3.0,32.8586697,-97.312993,"['6440 N Fwy', 'Fort Worth, TX 76137']",Fort Worth,TX
gWasJM46_IpDMi9pBWy2VA,lisa-s-chicken-and-seafood-fort-worth-2,Lisa’s Chicken & Seafood,9,Seafood,4.0,32.70624,-97.31242,"['1201 Berry St', 'Fort Worth, TX 76110']",Fort Worth,TX
S15KR8_BGXk9O5PMgYn6zA,dons-seafood-fort-worth,Don's Seafood,11,Seafood,4.0,32.6862449645996,-97.2794494628906,"['5109 Wichita St', 'Fort Worth, TX 76119']",Fort Worth,TX
agMFjsO05nlbNaoFxyTSpw,turkey-den-fort-worth,Turkey Den,6,Seafood,4.0,32.760342,-97.26094,"['1201 Oakland Blvd', 'Ste 1111', 'Fort Worth, TX 76103']",Fort Worth,TX
6hZ3iMHbV8uZYC5TGldp2A,catfish-floyds-restaurant-arlington-arlington,Catfish Floyd's Restaurant Arlington,2,Seafood,2.5,32.70661,-97.09717,"['901 E Arkansas Ln', 'Arlington, TX 76010']",Arlington,TX
Bv2SEbWExORVPpNb2feTqg,mariscos-el-wero-fort-worth,Mariscos El Wero,5,Seafood,4.0,32.63549,-97.32288,"['114 Sycamore School Rd', 'Fort Worth, TX 76134']",Fort Worth,TX
4cLZHvmuB9mFAPrMi88-6w,long-john-silvers-arlington-3,Long John Silver's,13,Seafood,2.0,32.7353499,-97.11501,"['700 W Abram St', 'Arlington, TX 76013']",Arlington,TX
a5Dlny7RyueSMcxMrj9R0g,the-shack-at-joe-pool-grand-prairie,The Shack at Joe Pool,33,Seafood,2.5,32.630367,-97.040415,"['5700 Lake Ridge Pkwy', 'Grand Prairie, TX 75052']",Grand Prairie,TX
j3TIqznYU37jSMtjIn_tKA,laughing-crab-hurst,Laughing Crab,21,Seafood,2.5,32.830085,-97.200066,"['1101 Melbourne Rd', 'Ste 6600', 'Hurst, TX 76053']",Hurst,TX
